Georgia Southern,Florida A&M,11,4.52,-6.92,
UC-Davis,Drake,6,1.59,-5.36,
Butler,Arizona,4,8.58,11.39,
Akron,Air Force,9,7.70,-0.22,
Air Force,Akron,-9,-0.22,7.70,
Arizona,Butler,-4,11.39,8.58,
Bucknell,Northern Colorado,12,6.79,-3.65,
Jacksonville State,Cal State Fullerton,23,0.86,1.96,
Cal State Fullerton,Jacksonville State,-23,1.96,0.86,
Illinois-Chicago,Cal Poly,13,2.15,-6.00,
Buffalo,Nevada,-5,4.15,7.48,
Northern Colorado,Bucknell,-12,-3.65,6.79,
Cal Poly,Illinois-Chicago,-13,-6.00,2.15,
Nevada,Buffalo,5,7.48,4.15,
Iowa State,Miami (FL),17,10.00,7.88,
Providence,Memphis,9,3.78,6.22,
East Tennessee State,Milwaukee,24,11.29,-5.36,
Miami (FL),Iowa State,-17,7.88,10.00,
Memphis,Providence,-9,6.22,3.78,
Richmond,Maryland,-6,1.50,8.73,
Maryland,Richmond,6,8.73,1.50,
Milwaukee,East Tennessee State,-24,-5.36,11.29,
New Mexico,Cal State Northridge,16,1.96,-2.32,
Cal State Northridge,New Mexico,-16,-2.32,1.96,
Louisville,Baylor,-3,13.67,11.22,
Florida State,Illinois,11,12.19,1.81,
Iowa,Virginia,-33,2.33,11.85,
Illinois,Florida State,-11,1.81,12.19,
Virginia,Iowa,33,11.85,2.33,
Louisiana State,Virginia Commonwealth,-11,-7.65,9.56,
Baylor,Louisville,3,11.22,13.67,
Virginia Commonwealth,Louisiana State,11,9.56,-7.65,
Kansas State,Boston College,18,6.70,-3.56,
Boston College,Kansas State,-18,-3.56,6.70,
Northern Arizona,Jacksonville State,-13,-7.81,0.86,
Jacksonville State,Northern Arizona,13,0.86,-7.81,
Nevada,Iona,-2,7.48,4.14,
Iona,Nevada,2,4.14,7.48,
Providence,Virginia,-11,3.78,11.85,
Virginia,Providence,11,11.85,3.78,
Memphis,Iowa,8,6.22,2.33,
Iowa,Memphis,-8,2.33,6.22,
South Carolina State,Monmouth,-24,-11.93,7.64,
Monmouth,South Carolina State,24,7.64,-11.93,
Georgia Southern,Radford,1,4.52,-5.14,
Toledo,Middle Tennessee,-3,3.19,10.93,
Middle Tennessee,Toledo,3,10.93,3.19,
Texas-Rio Grande Valley,St. Francis (NY),10,-3.61,-11.69,
Sacramento State,San Francisco,-18,-4.08,5.07,
San Francisco,Sacramento State,18,5.07,-4.08,
Boston College,Richmond,-13,-3.56,1.50,
Radford,Georgia Southern,-1,-5.14,4.52,
Richmond,Boston College,13,1.50,-3.56,
Syracuse,South Carolina,-14,6.26,8.93,
Texas Christian,Washington,13,5.44,-3.11,
St. Francis (NY),Texas-Rio Grande Valley,-10,-11.69,-3.61,
Washington,Texas Christian,-13,-3.11,5.44,
Hampton,Stony Brook,-10,-2.52,1.33,
South Carolina,Syracuse,14,8.93,6.26,
Stony Brook,Hampton,10,1.33,-2.52,
Milwaukee,UC-Irvine,17,-5.36,5.11,
South Dakota State,East Tennessee State,-12,-1.10,11.29,
East Tennessee State,South Dakota State,12,11.29,-1.10,
